"","ihme_region"
"1","South Asia"
"2","Central Sub-Saharan Africa"
"3","Central Europe"
"4","Western Europe"
"5","North Africa and Middle East"
"6","Southern Latin America"
"7","Central Asia"
"8","Western Sub-Saharan Africa"
"9","Caribbean"
"10","Australasia"
"11","Eastern Sub-Saharan Africa"
"12","Eastern Europe"
"13","Andean Latin America"
"14","Tropical Latin America"
"15","High-income Asia Pacific"
"16","Southern Sub-Saharan Africa"
"17","High-income North America"
"18","East Asia"
"19","Oceania"
"20","Central Latin America"
"21","Southeast Asia"
"22",NA
